t,f
1,21
2,11
3,49
4,19
5,13
6,42
7,108
8,139
9,94
10,95
11,35
12,2
13,40
14,50
15,25
16,71
17,184
18,152
19,127
20,114
21,130
22,81
23,55
24,84
25,163
26,64
27,112
28,124
29,188
30,95
31,43
32,140
33,123
34,102
35,148
36,53
37,10
38,64
39,84
40,13
41,26
42,3
43,48
44,162
46,14
48,35
49,64
50,264
51,141
52,137
53,220
54,221
55,306
56,98
57,3
58,45
59,22
60,127
61,189
62,184
63,82
64,59
65,174
66,212
67,241
68,309
69,180
70,111
71,113
72,263
73,130
74,6
75,48
76,42
77,70
78,55
79,203
80,254
81,92
82,125
83,212
84,74
85,21
86,30
87,96
88,181
89,245
90,110
91,63
92,66
93,67
94,4
95,70
96,71
97,142
98,51
99,29
100,109
101,71
102,135
103,117
104,31
105,84
106,117
107,103
108,187
109,115
110,132
111,88
112,99
113,115
114,71
115,46
116,35
117,34
118,58
119,35
120,133
121,127
122,63
123,75
124,111
125,79
126,67
127,156
128,211
129,127
130,57
131,49
132,59
133,56
134,11
136,21
137,37
138,75
139,223
140,142
141,21
142,97
143,126
144,113
145,87
146,102
147,65
148,65
149,59
150,51
151,135
152,60
153,44
154,91
155,114
156,110
157,100
158,14
159,10
160,63
161,46
162,41
163,8
164,37
165,5
166,12
167,29
168,4
169,16
170,12
171,2
172,4
173,5
174,1
