t,f
1,227
2,362
3,388
4,320
5,24
6,31
8,8
9,1382
10,4
12,9
13,146
14,202
15,227
16,178
17,216
18,167
19,113
20,105
21,657
22,887
23,809
24,253
25,172
26,41
29,446
30,492
31,681
32,483
33,624
34,1343
35,678
36,616
37,1
41,474
42,803
43,636
44,831
45,1084
46,1003
47,615
48,41
52,244
53,870
54,852
55,1173
56,837
57,643
58,615
59,246
62,327
63,883
64,832
65,1021
66,1033
67,729
68,607
69,50
72,243
73,798
74,1109
75,940
76,1178
77,620
78,648
82,437
83,475
84,781
85,368
86,1183
87,1235
88,718
89,196
94,980
95,949
96,1062
97,1117
98,820
99,482
100,134
103,234
104,725
105,575
106,1106
107,1258
108,836
109,541
110,185
114,416
115,804
116,721
117,1148
118,895
119,751
120,701
124,309
125,648
126,1114
127,1121
128,1073
129,568
130,645
134,424
135,1246
136,1129
137,1035
138,592
139,685
140,374
143,717
144,639
145,1059
146,1128
147,842
148,733
149,393
150,17
153,539
154,932
155,664
156,1138
157,1061
158,783
159,291
163,335
164,768
165,963
166,1082
167,1157
168,742
169,487
173,305
174,781
175,1052
176,1031
177,909
178,737
179,641
183,343
184,662
185,986
186,1321
187,803
188,514
189,596
190,234
193,343
194,930
195,553
196,1255
197,932
198,724
199,722
200,77
203,268
204,1363
205,1164
206,1054
207,706
208,664
209,221
212,518
213,1081
214,1185
215,996
216,729
217,723
218,228
221,598
222,580
223,1028
224,1119
225,879
226,623
227,549
228,89
231,401
232,788
233,1007
234,1311
235,842
236,518
237,483
238,133
241,276
242,1075
243,472
244,1008
245,1039
246,894
247,556
248,122
252,416
253,774
254,1203
255,853
256,1019
257,591
258,668
262,633
263,919
264,1221
265,909
266,540
267,724
268,443
269,39
271,199
272,907
273,1123
274,981
275,1066
276,674
277,542
278,30
281,398
282,831
283,872
284,1085
285,1083
286,776
287,450
291,281
292,906
293,971
294,1231
295,668
296,722
297,607
298,39
301,409
302,1056
303,266
304,896
305,961
306,1031
307,665
308,218
312,371
313,590
314,1360
315,1025
316,812
317,674
318,570
319,61
322,607
323,564
324,504
325,699
326,1141
327,1040
328,729
329,207
333,114
334,835
335,862
336,1073
337,961
338,845
339,595
340,224
343,145
344,594
345,1347
346,1001
347,904
348,599
349,641
350,227
353,765
354,971
355,1119
356,1012
357,631
358,614
359,358
360,1
362,297
363,855
364,556
365,909
366,724
367,1222
368,730
369,199
373,383
374,507
375,1555
376,1035
377,627
378,596
379,659
380,84
383,540
384,935
385,737
386,1179
387,971
388,691
389,438
393,310
394,1427
395,969
396,1127
397,810
398,770
399,34
402,541
403,597
404,1165
405,1123
406,896
407,623
408,568
412,327
413,979
414,953
415,1073
416,1051
417,679
418,424
422,435
423,544
424,763
425,909
426,874
427,965
428,822
429,195
433,691
434,488
435,937
436,1230
437,787
438,699
439,557
440,77
443,284
444,913
445,474
446,1038
447,1090
448,927
449,520
450,205
454,538
455,783
456,432
457,1110
458,893
459,1097
460,575
465,435
466,625
467,654
468,578
469,760
470,1038
471,1214
472,213
477,120
478,803
479,1253
480,1220
481,569
482,660
483,642
484,258
487,542
488,960
489,546
490,1046
491,958
492,741
493,668
494,3
497,294
498,823
499,856
500,1066
501,940
502,538
503,592
504,316
507,289
508,814
509,1004
510,1049
511,1030
512,737
513,586
517,400
518,556
519,1235
520,1106
521,910
522,616
523,604
527,448
528,1262
529,1253
530,812
531,658
532,659
533,461
536,327
537,788
538,1164
539,1026
540,906
541,635
542,584
543,10
546,397
547,708
548,982
549,819
550,1181
551,609
552,752
553,66
556,416
557,467
558,862
559,677
560,583
561,583
562,496
583,542
584,430
585,335
591,703
592,613
593,487
594,568
595,592
596,645
597,931
598,804
599,138
605,236
606,1020
607,395
608,493
609,548
610,632
611,674
612,145
622,339
623,574
624,390
625,1
630,293
631,652
632,696
633,633
634,624
635,762
636,105
646,446
647,410
648,438
649,51
654,489
655,627
656,1144
657,1121
658,919
659,639
660,529
664,390
665,912
666,445
667,471
668,644
669,602
670,572
671,54
680,532
681,450
682,300
688,542
689,698
690,561
691,570
692,555
693,718
694,160
704,451
705,649
706,268
707,6
712,333
713,957
714,931
715,815
716,1123
717,778
718,515
722,308
723,491
724,895
725,649
726,518
727,564
728,427
729,202
739,399
740,717
741,142
747,307
748,934
749,403
750,541
751,525
752,774
753,335
763,283
764,515
765,583
766,22
771,250
772,635
773,1336
774,1351
775,660
776,628
777,542
781,563
782,788
783,219
784,582
785,516
786,580
787,467
788,315
789,28
798,397
799,610
800,221
806,363
807,935
808,642
809,543
810,525
811,676
812,223
822,474
823,382
824,497
830,390
831,687
832,1032
833,1071
834,999
835,699
836,597
837,3
840,257
841,586
842,720
843,697
844,509
845,631
846,476
847,132
857,543
858,401
859,266
865,411
866,589
867,841
868,498
869,588
870,524
871,459
872,4
881,524
882,580
883,199
884,92
889,443
890,784
891,1083
892,1129
893,819
894,503
895,574
896,115
899,353
900,810
901,610
902,417
903,599
904,591
905,604
915,564
916,526
917,144
918,1
923,451
924,745
925,657
926,506
927,518
928,612
929,467
939,338
940,413
941,547
942,127
947,273
948,598
949,1210
950,1000
951,1031
952,510
953,669
954,84
957,519
958,728
959,410
960,528
961,525
962,637
963,676
964,4
974,384
975,606
976,215
977,64
982,339
983,869
984,535
985,512
986,505
987,584
988,561
989,4
998,439
999,299
1000,624
1001,1
1006,410
1007,417
1008,973
1009,604
1010,474
1011,1010
1012,1316
1013,214
1015,18
1019,345
1020,1076
1021,299
1022,447
1023,676
1024,651
1025,487
1036,532
1037,326
1038,368
1044,547
1045,450
1046,722
1047,548
1048,594
1049,623
1050,400
1051,75
1060,518
1061,639
1062,259
1068,523
1069,886
1070,775
1071,1013
1072,956
1073,686
1074,425
1075,94
1078,390
1079,821
1080,613
1081,585
1082,699
1083,586
1084,294
1095,613
1096,498
1097,216
1098,3
1103,571
1104,700
1105,488
1106,530
1107,609
1108,614
1109,380
1119,478
1120,653
1121,266
1127,459
1128,989
1129,434
1130,1137
1131,1093
1132,789
1133,452
1138,494
1139,949
1140,597
1141,565
1142,479
1143,562
1144,366
1154,446
1155,643
1156,215
1162,387
1163,852
1164,446
1165,569
1166,477
1167,671
1168,545
1178,377
1179,460
1180,463
1181,29
1186,361
1187,600
1188,1119
1189,1010
1190,1110
1191,704
1192,603
1193,6
1196,199
1197,838
1198,671
1199,555
1200,581
1201,683
1202,371
1212,13
1213,445
1214,560
1215,297
1221,421
1222,876
1223,543
1224,619
1225,604
1226,692
1227,184
1237,476
1238,500
1239,390
1245,474
1246,833
1247,1022
1248,1099
1249,751
1250,576
1251,545
1252,131
1255,401
1256,894
1257,413
1258,633
1259,419
1260,605
1261,542
1262,21
1271,7
1272,488
1273,323
1274,513
1280,473
1281,605
1282,737
1283,512
1284,548
1285,550
1286,530
1296,413
1297,680
1298,242
1299,61
1304,402
1305,976
1306,612
1307,1121
1308,925
1309,555
1310,602
1311,157
1314,338
1315,832
