t,f
1,15
2,41
3,37
4,22
5,15
6,16
7,24
8,24
9,63
10,42
11,24
12,61
13,95
14,55
15,66
16,44
17,40
18,88
19,88
20,63
21,70
22,119
23,125
24,103
25,132
26,124
27,149
28,89
29,95
30,45
31,214
32,103
33,95
34,65
35,98
36,102
37,113
38,121
39,201
40,187
41,137
42,151
43,187
44,241
45,190
46,271
47,93
48,137
49,123
50,194
51,109
52,112
53,159
54,156
55,180
56,231
57,156
58,184
59,138
60,248
61,146
62,86
63,182
64,287
65,121
66,138
67,213
68,261
69,175
70,211
71,274
72,256
73,172
74,204
75,140
76,106
77,189
78,135
79,110
80,318
81,211
82,207
83,305
84,310
85,114
86,176
87,190
88,165
89,136
90,209
91,143
92,98
93,301
94,242
95,137
96,173
97,249
98,171
99,195
100,165
101,210
102,155
103,182
104,231
105,204
106,244
107,209
108,189
109,153
110,317
111,88
112,222
113,143
114,233
115,184
116,182
117,96
118,246
119,233
120,155
121,137
122,155
123,178
124,202
125,124
126,231
127,169
128,147
129,102
130,111
131,138
132,218
133,174
134,104
135,269
136,147
137,162
138,79
139,199
140,124
141,158
142,202
143,168
144,137
145,172
146,114
147,147
148,72
149,213
150,196
151,96
152,220
153,140
154,196
155,230
156,166
157,174
158,159
159,174
160,200
161,144
162,160
163,214
164,126
165,145
166,220
167,161
168,162
169,242
170,134
171,199
172,158
173,168
174,190
175,168
176,218
177,106
178,114
179,232
180,179
181,140
182,203
183,149
184,138
185,334
186,147
187,182
188,103
189,222
190,183
191,75
192,136
193,199
194,93
195,203
196,226
197,75
198,139
199,135
200,105
201,205
202,226
203,122
204,56
205,35
206,105
207,126
208,142
209,114
210,97
211,137
212,184
213,143
214,97
215,221
216,81
217,105
218,120
219,339
220,161
221,92
222,72
223,104
224,116
225,217
226,101
227,190
228,132
229,55
230,68
231,150
232,98
233,53
234,54
235,138
236,164
237,152
238,208
239,93
240,162
241,129
242,173
243,146
244,234
245,134
246,287
247,132
248,122
249,136
250,145
251,180
252,154
253,220
254,88
255,227
256,164
257,186
258,92
259,249
260,182
261,82
262,130
263,221
264,67
265,190
266,242
267,77
268,205
269,196
270,128
271,243
272,69
273,222
274,248
275,103
276,209
277,231
278,59
279,227
280,110
281,133
282,254
283,157
284,193
285,147
286,160
287,166
288,73
289,180
290,157
291,127
292,186
293,159
294,58
295,201
296,137
297,198
298,241
299,149
300,29
301,93
302,160
303,84
304,79
305,49
306,90
307,145
308,144
309,59
310,266
311,240
312,132
313,92
314,242
315,307
316,140
317,213
318,191
319,132
320,78
321,160
322,115
323,139
324,178
325,81
326,137
327,188
328,154
329,167
330,227
331,160
332,191
333,180
334,115
335,197
336,220
337,65
338,118
339,203
340,187
341,59
342,103
343,184
344,145
345,127
346,256
347,132
348,99
349,83
350,137
351,167
352,70
353,182
354,125
355,96
356,156
357,185
358,107
359,168
360,172
361,155
362,170
363,144
364,118
365,146
366,87
367,211
368,157
369,82
370,141
371,168
372,98
373,83
374,162
375,91
376,135
377,57
378,71
379,223
380,177
381,162
382,90
383,188
